male,race_ethnicity,frpl,iep,ell,ever_alternative,ap_ever_take_class,math_ss,read_ss,pct_days_absent,gpa,scale_score_11_eng,scale_score_11_math,scale_score_11_read,scale_score_11_comp,hs_diploma
yes,White,yes,no,no,no,no,38.0,41.0,7.4459691,1.105,,,,,1
no,White,yes,no,no,yes,no,31.0,45.0,8.523592,2.0,9.0,15.0,14.0,12.0,1
yes,White,yes,no,no,no,yes,27.0,51.0,12.955938,1.941,17.0,15.0,19.0,17.0,1
yes,White,no,no,no,no,no,18.0,32.0,1.3506494,3.2206666,19.0,18.0,22.0,20.0,1
no,White,yes,no,no,no,yes,21.0,40.0,2.3703172,3.4865,25.0,25.0,26.0,26.0,1
yes,Hispanic,yes,no,no,no,no,18.0,29.0,3.4287748,1.43472,14.0,14.0,14.0,16.0,1
no,Multiple/Native American,yes,no,no,yes,no,38.0,37.0,11.673797,1.64,,,,,0
yes,White,yes,yes,no,no,no,,,16.196507,1.4,,,,,0
yes,White,no,no,no,yes,no,23.0,31.0,9.1776648,2.5992999,,,,,0
no,White,,no,no,yes,no,,,0.0,,,,,,1
yes,White,yes,no,no,no,no,59.0,53.0,4.3732195,3.256,15.0,22.0,18.0,16.0,1
no,White,no,no,no,no,no,45.0,44.0,2.4655173,3.8566699,23.0,22.0,20.0,22.0,1
no,White,no,no,no,no,no,48.0,38.0,7.7503543,3.7115002,20.0,16.0,19.0,17.0,1
yes,White,yes,no,no,no,yes,80.0,61.0,2.1792319,4.0,34.0,34.0,34.0,33.0,1
yes,African-American,yes,no,no,no,yes,70.0,70.0,3.4872611,4.0,31.0,31.0,28.0,28.0,1
yes,White,no,no,no,no,no,32.0,39.0,8.2346945,1.0445,,,,,0
no,White,no,no,no,yes,no,0.0,12.0,14.85452,2.079,18.0,16.0,21.0,19.0,1
yes,White,yes,no,no,no,no,24.0,49.0,6.9471488,2.347445,14.0,16.0,22.0,16.0,1
no,White,yes,no,no,no,no,46.0,64.0,8.6856337,2.7005,24.0,17.0,20.0,21.0,1
yes,White,yes,no,no,no,yes,48.0,59.0,3.2449856,3.75595,19.0,18.0,15.0,17.0,1
yes,African-American,,no,no,no,no,,,9.8588238,2.66941,16.0,16.0,16.0,17.0,0
yes,White,no,no,no,no,no,,,4.9382024,1.9475,,,,,0
no,White,yes,no,no,no,yes,53.0,61.0,8.2626266,3.8375001,26.0,16.0,27.0,22.0,1
no,African-American,yes,yes,no,no,no,4.0,39.0,11.408571,1.688,9.0,11.0,16.0,11.0,1
yes,White,,no,no,no,yes,,,8.333333,2.5155501,29.0,22.0,24.0,23.0,1
no,White,yes,no,no,no,no,33.0,35.0,4.0014558,3.3527,,,,,0
yes,White,yes,no,no,no,yes,49.0,47.0,0.73816562,3.3034,19.0,23.0,18.0,19.0,1
yes,White,no,no,no,no,no,30.0,48.0,11.988732,0.95999998,,,,,0
yes,White,no,no,no,no,no,0.0,,5.6319647,2.3150001,20.0,16.0,22.0,18.0,1
no,Asian/Pacific Islander,no,no,yes,no,no,14.0,29.0,1.7228571,3.0384998,19.0,23.0,20.0,21.0,1
yes,White,no,no,no,no,yes,61.0,52.0,5.6222548,2.8485,21.0,19.0,21.0,20.0,1
yes,White,yes,no,no,no,no,25.0,39.0,3.2844574,2.1135001,14.0,15.0,14.0,14.0,1
yes,White,no,yes,no,no,no,49.0,29.0,6.7356324,3.2665,8.0,14.0,15.0,12.0,1
yes,White,yes,no,no,no,no,68.0,56.0,8.3537121,3.7518501,23.0,28.0,19.0,23.0,1
no,White,yes,no,no,yes,no,,,0.0,0.89999998,,,,,0
no,White,no,no,no,no,yes,37.0,54.0,5.0474138,3.3299999,24.0,15.0,30.0,22.0,1
yes,White,yes,no,no,yes,no,21.0,21.0,16.08,2.3900001,,,,,0
yes,White,yes,no,no,no,yes,,,10.103841,2.5,29.0,24.0,23.0,25.0,1
yes,White,yes,yes,no,no,no,0.0,22.0,8.9743586,1.839,7.0,13.0,15.0,12.0,0
yes,White,no,no,no,no,no,49.0,40.0,1.3032904,2.4597001,11.0,15.0,15.0,13.0,1
yes,White,no,no,no,no,yes,80.0,66.0,4.8179231,2.4865,26.0,32.0,27.0,26.0,0
yes,White,yes,no,no,no,yes,,,0.0,3.199075,27.0,17.0,27.0,24.0,1
yes,White,no,no,no,yes,yes,80.0,75.0,5.6952791,2.138,25.0,27.0,28.0,27.0,1
no,White,yes,no,no,yes,no,24.0,39.0,6.7179127,1.9414999,19.0,15.0,19.0,18.0,1
yes,White,no,no,no,no,no,38.0,35.0,3.5433526,1.6754999,16.0,16.0,18.0,17.0,1
yes,White,yes,no,no,no,no,,,11.063767,2.08215,23.0,23.0,25.0,24.0,1
yes,Asian/Pacific Islander,no,no,no,no,no,35.0,40.0,2.7560627,3.0552502,14.0,16.0,16.0,16.0,1
no,White,yes,yes,no,no,no,39.0,55.0,4.9393492,3.0179501,11.0,16.0,12.0,14.0,1
yes,Hispanic,yes,no,no,no,no,,,2.2639089,3.3435998,31.0,25.0,28.0,28.0,1
no,White,no,no,no,no,no,38.0,42.0,6.0527859,2.2835002,14.0,15.0,20.0,18.0,1
no,Hispanic,yes,no,no,yes,yes,70.0,64.0,7.0357656,3.645,20.0,24.0,22.0,20.0,1
yes,White,no,no,no,no,no,48.0,61.0,6.5442858,3.0028801,20.0,17.0,20.0,20.0,1
yes,White,no,no,no,yes,no,39.0,80.0,6.9444447,2.7179999,16.0,18.0,18.0,17.0,1
yes,White,yes,no,no,no,yes,46.0,53.0,12.139501,2.8855,20.0,24.0,22.0,23.0,0
no,Hispanic,yes,no,yes,no,no,,,15.41048,1.874,,,,,0
no,White,no,no,no,no,no,28.0,50.0,1.571839,2.263,6.0,16.0,12.0,14.0,1
yes,White,no,no,no,no,no,58.0,60.0,1.4342858,3.5192499,14.0,22.0,16.0,17.0,1
no,White,no,no,no,yes,no,28.0,42.0,21.505169,2.0,,,,,0
yes,White,yes,no,no,no,no,62.0,66.0,4.8685374,3.5350001,18.0,17.0,17.0,16.0,1
no,African-American,yes,no,no,no,no,37.0,31.0,5.1920342,1.6215999,12.0,16.0,9.0,13.0,1
yes,African-American,yes,no,no,no,no,0.0,,4.7469134,2.852,,,,,0
no,African-American,yes,no,no,no,no,26.0,32.0,11.880769,1.834,9.0,15.0,14.0,13.0,1
yes,White,yes,no,no,no,yes,8.0,18.0,9.1115704,2.4675,,,,,0
no,White,yes,no,no,no,yes,50.0,40.0,10.903847,3.8329999,24.0,22.0,29.0,23.0,1
no,White,,no,no,no,no,,,20.0,1.574,,,,,0
no,White,no,no,no,no,no,,,5.4871798,2.0857999,30.0,23.0,27.0,25.0,1
no,White,yes,no,no,no,no,39.0,38.0,10.941678,2.21,18.0,17.0,19.0,18.0,1
no,White,yes,no,no,no,no,50.0,56.0,5.2218747,3.6668501,15.0,16.0,15.0,16.0,1
yes,White,no,no,no,no,no,62.0,80.0,657.59998,3.1010001,30.0,27.0,31.0,28.0,1
no,White,yes,no,no,no,no,,,1.4692082,3.107625,22.0,16.0,21.0,22.0,1
yes,White,no,no,no,no,no,29.0,44.0,4.5894942,3.152,17.0,16.0,17.0,17.0,1
yes,Multiple/Native American,yes,yes,no,no,no,28.0,21.0,1.2030652,2.1073332,13.0,15.0,17.0,17.0,1
no,White,no,no,no,no,yes,70.0,70.0,1.9141194,3.6890001,25.0,23.0,29.0,25.0,1
no,African-American,yes,no,no,no,no,14.0,33.0,38.537315,1.00375,13.0,15.0,12.0,13.0,0
yes,White,yes,no,no,no,no,43.0,47.0,4.7514124,2.4795001,19.0,21.0,18.0,20.0,1
no,White,no,no,no,no,no,21.0,39.0,2.2442195,3.279,21.0,21.0,18.0,20.0,1
yes,White,no,no,no,no,no,46.0,56.0,6.7803464,2.2062502,12.0,21.0,14.0,14.0,1
no,White,yes,no,no,no,no,47.0,45.0,12.707462,2.25,19.0,17.0,21.0,20.0,1
yes,White,no,no,no,no,no,44.0,50.0,0.72150069,2.645,15.0,17.0,14.0,14.0,1
yes,White,yes,no,no,yes,no,33.0,38.0,5.3806815,1.865,11.0,14.0,12.0,12.0,1
yes,White,yes,no,no,no,no,56.0,38.0,3.3382137,2.1535001,18.0,22.0,15.0,19.0,1
yes,White,yes,no,no,no,no,16.0,44.0,8.0968208,1.69425,17.0,14.0,18.0,17.0,1
yes,African-American,,no,no,yes,no,,,0.0,,,,,,0
no,African-American,yes,no,no,no,no,27.0,45.0,13.317986,2.8631999,,,,,1
no,White,yes,no,no,no,no,26.0,36.0,9.7782478,1.8473333,11.0,14.0,14.0,13.0,1
yes,White,yes,no,no,no,yes,75.0,37.0,1.9630157,2.6610599,16.0,19.0,23.0,20.0,1
no,White,no,no,no,no,no,31.0,80.0,5.7108431,2.6600001,20.0,16.0,19.0,19.0,1
no,White,no,no,no,no,no,44.0,58.0,6.7114286,3.23505,26.0,25.0,20.0,24.0,1
no,White,yes,no,no,yes,no,52.0,79.0,9.7210989,2.4690001,23.0,19.0,28.0,22.0,1
yes,White,yes,no,no,no,no,72.0,75.0,11.006183,3.533,,,,,0
yes,White,no,no,no,no,no,38.0,50.0,10.58832,3.0,22.0,16.0,24.0,21.0,1
no,African-American,no,no,no,no,no,63.0,58.0,9.8071432,3.2231998,30.0,27.0,32.0,31.0,1
yes,White,yes,no,no,no,no,,,25.523478,1.125,17.0,17.0,17.0,19.0,0
no,White,yes,no,no,yes,no,1.0,24.0,0.93164933,2.3835001,12.0,14.0,13.0,13.0,1
no,White,no,no,no,no,yes,65.0,70.0,8.0259371,3.1965001,25.0,22.0,31.0,27.0,1
yes,White,yes,no,no,no,no,44.0,56.0,4.7586703,0.57099998,14.0,16.0,18.0,16.0,1
yes,White,yes,no,no,yes,no,0.0,,11.503629,2.3505001,19.0,11.0,16.0,16.0,1
no,White,yes,no,no,yes,no,18.0,41.0,4.1083174,2.4674501,17.0,16.0,14.0,16.0,1
no,White,yes,no,no,no,no,35.0,80.0,9.0876436,2.675,18.0,17.0,22.0,18.0,1
no,African-American,yes,no,no,yes,no,22.0,32.0,18.946859,1.564,,,,,0
no,White,no,no,no,no,no,9.0,41.0,16.888889,2.25,15.0,15.0,18.0,16.0,1
yes,White,no,no,no,no,yes,72.0,53.0,2.4395447,3.8800001,31.0,33.0,28.0,30.0,1
yes,White,yes,no,no,yes,no,29.0,27.0,7.810997,1.9355,13.0,15.0,8.0,14.0,1
yes,African-American,no,no,no,no,no,68.0,50.0,0.00285714,2.5869,21.0,21.0,19.0,20.0,1
yes,Hispanic,yes,no,no,yes,no,,,15.180181,0.85714501,,,,,0
yes,White,yes,no,no,no,yes,11.0,0.0,7.8258991,3.0599999,18.0,15.0,14.0,15.0,1
yes,White,no,yes,no,no,no,60.0,47.0,5.1057968,2.6675,11.0,15.0,17.0,16.0,1
no,White,no,no,no,no,no,,,2.524178,2.7835,,,,,1
yes,African-American,yes,yes,no,no,no,14.0,2.0,9.7712612,2.04,10.0,11.0,13.0,13.0,1
no,White,yes,no,no,yes,no,39.0,47.0,6.6325879,2.9033699,16.0,15.0,14.0,15.0,1
no,African-American,yes,no,no,yes,no,48.0,52.0,1.6445994,3.1961501,,,,,1
no,African-American,yes,no,no,yes,no,15.0,42.0,29.892746,1.4881999,,,,,0
yes,African-American,no,no,no,no,no,,19.0,18.007729,0.63160002,,,,,0
yes,White,no,no,no,no,yes,64.0,46.0,2.2199314,3.4965,32.0,23.0,30.0,28.0,1
yes,White,yes,no,no,yes,no,51.0,34.0,7.3556185,1.5354,,,,,0
yes,White,yes,no,no,yes,no,65.0,49.0,7.6923075,4.0,32.0,35.0,30.0,32.0,1
yes,White,yes,yes,no,yes,no,27.0,26.0,4.7776074,2.4843102,12.0,13.0,16.0,14.0,0
no,White,yes,no,no,yes,no,53.0,54.0,3.9117985,3.3615,28.0,18.0,25.0,23.0,1
no,White,no,no,no,no,yes,68.0,80.0,5.2929292,2.7681351,21.0,25.0,23.0,22.0,1
yes,White,yes,no,no,no,no,34.0,40.0,10.203994,1.535,25.0,21.0,23.0,22.0,1
no,White,no,no,no,yes,no,56.0,62.0,0.84649771,3.2340002,,,,,0
no,White,yes,no,no,no,no,53.0,42.0,3.7124279,4.0,15.0,17.0,15.0,16.0,1
yes,African-American,yes,yes,no,yes,no,,19.0,35.142857,0.96680003,,,,,0
yes,African-American,no,no,no,yes,no,,,6.0,0.0,,,,,0
no,White,no,no,no,yes,yes,61.0,48.0,10.074927,1.33005,20.0,19.0,28.0,21.0,1
no,White,no,no,no,no,yes,71.0,63.0,4.7373734,3.25372,31.0,29.0,32.0,31.0,1
no,White,no,no,no,no,yes,50.0,48.0,2.8274286,3.8055,27.0,27.0,26.0,24.0,1
no,White,no,no,no,no,yes,80.0,74.0,1.0825036,3.8850002,28.0,29.0,19.0,26.0,1
no,,yes,no,no,no,yes,,36.0,4.9542098,3.0,25.0,20.0,25.0,24.0,1
no,African-American,yes,no,no,no,no,39.0,72.0,8.5120907,2.0349998,16.0,17.0,18.0,17.0,1
yes,White,yes,no,no,yes,no,,,16.383917,1.189,,,,,0
yes,White,yes,no,no,no,yes,46.0,61.0,13.01558,3.2385001,21.0,23.0,30.0,25.0,1
yes,White,yes,no,no,no,no,,43.0,6.4185519,2.608,19.0,16.0,16.0,18.0,1
yes,White,no,no,no,no,no,56.0,41.0,0.88905329,2.8625,13.0,16.0,20.0,17.0,1
no,White,yes,no,no,no,no,56.0,64.0,5.2988334,3.7850001,22.0,22.0,20.0,22.0,1
yes,White,no,yes,no,no,no,49.0,52.0,3.5125926,3.2163548,17.0,25.0,20.0,19.0,1
no,African-American,yes,no,no,yes,no,,,5.681818,,,,,,1
no,White,yes,no,no,no,no,53.0,39.0,6.4547534,3.2354999,19.0,18.0,15.0,18.0,1
yes,African-American,no,yes,no,no,no,14.0,46.0,5.8921165,2.67295,7.0,14.0,11.0,13.0,1
yes,White,no,no,no,no,yes,80.0,68.0,1.6026012,3.924,27.0,25.0,21.0,25.0,1
no,African-American,yes,no,no,yes,no,,,8.0638771,2.8690467,,,,,1
yes,White,no,no,no,no,no,69.0,53.0,5.255682,3.9315,,,,,0
yes,White,yes,no,no,no,no,41.0,55.0,2.7170088,3.0949998,24.0,23.0,30.0,26.0,1
no,White,no,no,no,no,no,53.0,70.0,6.1870232,3.4615002,26.0,20.0,27.0,24.0,1
yes,White,yes,no,no,no,yes,23.0,39.0,4.2222223,1.7972,20.0,18.0,27.0,22.0,1
yes,White,no,no,no,no,yes,77.0,73.0,2.6115108,3.1619999,27.0,21.0,26.0,25.0,1
no,White,yes,no,no,no,no,,,14.886621,2.0035,,,,,0
no,White,no,no,no,no,yes,39.0,35.0,8.0234261,3.4215,24.0,25.0,23.0,23.0,1
yes,White,no,no,no,no,no,64.0,80.0,1.7071428,3.7211499,34.0,31.0,36.0,33.0,1
no,White,yes,no,no,no,no,38.0,46.0,0.69797689,2.8299999,23.0,16.0,20.0,19.0,1
yes,White,yes,no,no,no,no,68.0,68.0,5.2765961,2.454,24.0,24.0,23.0,22.0,1
no,White,no,no,no,no,no,78.0,80.0,8.2167635,3.8445001,18.0,20.0,23.0,20.0,1
no,White,yes,no,no,no,no,,,8.2252254,1.98,9.0,15.0,14.0,14.0,1
no,White,yes,no,no,no,no,0.0,,11.21037,1.6714,16.0,18.0,20.0,18.0,1
yes,African-American,yes,no,no,yes,no,34.0,42.0,26.13389,1.53195,,,,,0
no,White,yes,no,no,no,no,23.0,44.0,4.1213017,2.336,17.0,16.0,21.0,18.0,1
no,White,no,no,no,no,yes,,,7.9209042,3.5173333,26.0,24.0,24.0,25.0,1
yes,White,yes,no,no,yes,no,,,0.0,,,,,,1
no,White,yes,no,no,no,no,,,6.2733712,2.5999999,17.0,22.0,17.0,20.0,1
no,White,no,no,no,no,yes,64.0,71.0,4.608757,3.4070001,31.0,25.0,32.0,27.0,1
no,Multiple/Native American,no,no,no,no,no,70.0,77.0,4.3300004,3.85745,31.0,27.0,27.0,29.0,1
yes,Multiple/Native American,yes,no,no,yes,no,,,0.0,,,,,,0
yes,White,yes,no,no,yes,no,35.0,62.0,5.2571974,1.355,,,,,0
no,White,no,no,no,no,no,50.0,80.0,0.57857144,3.7859001,29.0,21.0,30.0,26.0,1
no,White,yes,no,no,no,no,0.0,,2.4681158,2.4096668,19.0,15.0,19.0,17.0,1
yes,White,no,no,no,no,no,55.0,53.0,4.0171185,1.87245,20.0,21.0,14.0,19.0,1
yes,White,yes,no,no,no,no,21.0,19.0,8.545845,2.174,9.0,15.0,14.0,14.0,1
yes,White,yes,yes,no,no,no,22.0,23.0,19.93726,3.0829999,,,,,0
no,White,no,no,no,yes,yes,75.0,75.0,3.2753208,3.9320002,30.0,29.0,25.0,27.0,1
yes,White,yes,no,no,no,no,21.0,29.0,9.1949148,1.5955825,16.0,16.0,10.0,17.0,0
no,White,yes,no,no,no,no,43.0,51.0,4.5463767,3.3074999,16.0,16.0,21.0,18.0,1
yes,White,yes,yes,no,yes,no,31.0,43.0,7.572238,2.0190001,10.0,15.0,14.0,13.0,1
no,White,yes,no,no,no,no,38.0,41.0,10.33237,2.1127849,16.0,16.0,14.0,16.0,1
no,White,no,no,no,yes,no,33.0,66.0,4.9898844,2.7515001,18.0,17.0,14.0,16.0,1
no,White,yes,no,no,no,yes,12.0,41.0,1.6539007,3.7514999,22.0,17.0,21.0,20.0,1
no,White,yes,no,no,no,yes,,,3.2209301,3.5101099,29.0,21.0,30.0,27.0,1
yes,White,no,no,no,no,no,,22.0,4.3985715,2.20525,11.0,15.0,12.0,13.0,1
no,White,no,no,no,no,no,80.0,61.0,4.5332351,3.9773049,30.0,28.0,33.0,31.0,1
yes,White,yes,no,no,no,yes,13.0,39.0,4.1778774,2.7725,18.0,15.0,22.0,17.0,1
no,White,yes,yes,no,no,yes,0.0,,8.9828568,3.1600001,22.0,21.0,20.0,21.0,1
yes,White,no,no,no,no,no,68.0,53.0,3.0380673,3.6654501,22.0,30.0,22.0,22.0,1
no,White,no,no,no,yes,yes,50.0,80.0,3.071111,3.8355,31.0,27.0,26.0,28.0,1
no,White,no,no,no,no,yes,80.0,73.0,0.07747489,3.8785951,35.0,29.0,29.0,31.0,1
no,Hispanic,no,yes,no,yes,no,,,2.8571429,,,,,,0
no,White,yes,no,no,no,no,42.0,53.0,3.9335263,2.5569999,19.0,17.0,19.0,19.0,1
no,White,no,no,no,no,no,,,32.372883,1.778,,,,,0
yes,White,no,no,no,no,yes,76.0,54.0,4.1581922,2.8035998,26.0,28.0,27.0,27.0,1
no,White,no,no,no,yes,no,46.0,38.0,14.184211,1.6506667,13.0,14.0,14.0,14.0,1
yes,White,yes,yes,no,no,no,37.0,33.0,3.5875371,2.9115,13.0,14.0,23.0,16.0,1
yes,White,no,yes,no,no,yes,29.0,34.0,3.4862914,2.8624501,17.0,15.0,19.0,18.0,1
no,White,yes,no,no,no,no,46.0,47.0,8.3614283,2.2849998,15.0,16.0,19.0,17.0,1
no,Multiple/Native American,yes,no,no,no,no,,,23.506668,,,,,,0
no,White,yes,no,no,yes,no,53.0,77.0,22.821138,1.0666667,,,,,0
no,Asian/Pacific Islander,no,no,no,no,yes,64.0,80.0,12.21534,3.75895,30.0,20.0,23.0,25.0,1
no,White,no,no,no,no,no,80.0,80.0,1.5173913,3.5125,21.0,28.0,26.0,23.0,1
no,White,no,no,no,no,yes,39.0,45.0,5.4992719,3.622,24.0,17.0,27.0,25.0,1
yes,White,yes,yes,no,yes,no,0.0,,14.509434,1.9069999,,,,,1
no,White,no,no,no,no,no,46.0,33.0,5.9985795,2.7385001,19.0,16.0,12.0,14.0,1
no,White,no,no,no,no,yes,54.0,49.0,0.66522992,3.4200001,23.0,22.0,24.0,23.0,1
yes,White,yes,yes,no,yes,no,,15.0,2.0086455,3.2579999,15.0,15.0,15.0,14.0,1
yes,White,yes,no,no,no,yes,80.0,77.0,3.6826086,3.98035,27.0,29.0,27.0,25.0,1
yes,White,yes,no,no,no,no,48.0,24.0,11.187235,2.105,16.0,15.0,18.0,17.0,1
no,White,yes,no,no,no,no,19.0,41.0,6.3924971,2.9549999,14.0,18.0,14.0,16.0,1
yes,White,yes,no,no,no,no,42.0,64.0,7.1581197,2.0,23.0,21.0,26.0,22.0,1
yes,White,yes,no,no,no,no,44.0,39.0,5.2400002,1.518075,26.0,20.0,20.0,20.0,1
no,White,yes,no,no,no,no,19.0,52.0,2.8698139,2.9345,13.0,14.0,15.0,14.0,1
yes,White,yes,no,no,yes,yes,61.0,50.0,2.9869752,3.7495,23.0,25.0,25.0,25.0,1
yes,White,yes,no,no,no,yes,77.0,64.0,8.795455,3.260535,21.0,20.0,23.0,20.0,1
yes,African-American,yes,no,no,yes,no,0.0,,1.9622641,0.89300001,,,,,0
no,White,no,no,no,yes,no,19.0,39.0,5.1194878,2.753,16.0,17.0,19.0,18.0,1
no,White,yes,no,no,yes,no,59.0,57.0,5.9497843,3.95,21.0,24.0,19.0,23.0,1
yes,White,yes,no,no,no,no,19.0,38.0,15.029914,1.4419266,10.0,13.0,15.0,14.0,1
no,White,no,no,no,no,yes,64.0,68.0,5.2906475,4.0,30.0,29.0,26.0,28.0,1
no,African-American,yes,no,no,no,no,,,4.9169016,3.8333001,,,,,1
no,White,yes,no,no,yes,no,59.0,69.0,16.886398,3.0904999,20.0,21.0,20.0,20.0,1
yes,White,no,no,no,no,no,49.0,50.0,10.273141,2.427,21.0,23.0,25.0,23.0,1
yes,,yes,no,no,yes,no,0.0,27.0,26.473518,2.533,,,,,1
no,White,no,no,no,no,no,56.0,76.0,5.3265309,3.5095,19.0,20.0,19.0,20.0,1
yes,White,no,no,no,no,yes,60.0,51.0,6.7951288,3.4687974,29.0,25.0,26.0,27.0,1
no,White,yes,no,no,no,no,28.0,46.0,4.9664235,3.2218425,15.0,19.0,22.0,18.0,1
no,White,yes,no,no,no,no,,,17.739521,1.9895,,,,,0
no,White,yes,no,no,no,no,56.0,43.0,6.1618495,3.7445002,18.0,20.0,24.0,20.0,1
yes,Hispanic,yes,no,no,no,yes,56.0,64.0,0.73721594,3.2350001,27.0,17.0,31.0,24.0,1
yes,White,no,no,no,no,yes,80.0,75.0,9.8620691,3.1900001,27.0,21.0,32.0,25.0,1
yes,White,yes,no,no,no,no,24.0,37.0,2.6652112,2.2135,,,,,0
no,White,no,no,no,no,no,,,19.735292,1.8425,,,,,0
yes,White,no,yes,no,no,no,25.0,40.0,11.791255,1.143,,,,,1
no,White,yes,no,no,no,no,28.0,35.0,2.6337817,3.0,19.0,16.0,23.0,18.0,1
no,White,no,no,no,no,no,49.0,80.0,1.048105,3.2591448,21.0,19.0,21.0,19.0,1
yes,White,no,no,no,no,no,44.0,49.0,2.41763,1.339,23.0,17.0,18.0,19.0,1
yes,White,no,no,no,no,yes,72.0,62.0,0.69,3.8315501,28.0,28.0,32.0,28.0,1
no,White,yes,no,no,yes,no,39.0,62.0,29.6831,2.25,,,,,0
no,White,no,no,no,yes,yes,39.0,70.0,3.7716312,3.9175,27.0,19.0,28.0,24.0,1
yes,White,no,no,no,yes,no,62.0,56.0,2.2358756,3.3080001,15.0,22.0,19.0,21.0,1
no,White,no,no,no,no,no,18.0,52.0,12.226309,3.2811651,,,,,0
yes,African-American,no,yes,no,yes,no,,19.0,0.0,2.2219999,11.0,14.0,11.0,13.0,1
yes,White,no,no,no,no,no,47.0,42.0,1.1165468,3.056,22.0,25.0,23.0,23.0,1
no,White,no,no,no,no,no,64.0,80.0,3.9657142,3.8111501,,,,,0
yes,White,no,no,no,no,no,4.0,30.0,13.898716,1.5915,15.0,15.0,14.0,14.0,1
yes,White,no,no,no,no,yes,72.0,70.0,7.4054055,4.0,23.0,24.0,32.0,26.0,1
yes,White,yes,no,no,no,no,80.0,56.0,12.061429,1.5920501,20.0,22.0,24.0,21.0,1
no,African-American,yes,no,no,no,no,48.0,49.0,1.4590396,3.4545,20.0,17.0,23.0,21.0,1
no,White,no,no,no,no,yes,7.0,25.0,0.92537314,2.9492002,17.0,19.0,18.0,17.0,1
yes,White,no,no,no,yes,no,39.0,57.0,2.463768,2.385,22.0,16.0,21.0,18.0,1
yes,White,yes,no,no,no,yes,63.0,52.0,11.15892,1.8050001,32.0,22.0,28.0,25.0,1
yes,White,yes,no,no,no,no,24.0,46.0,0.83094561,2.4213333,19.0,19.0,15.0,18.0,1
no,White,no,no,no,no,no,50.0,51.0,1.3032904,3.58145,35.0,27.0,28.0,27.0,1
yes,White,yes,yes,no,no,no,4.0,30.0,4.627193,3.71455,15.0,14.0,15.0,13.0,1
yes,White,no,no,no,no,yes,30.0,44.0,7.3348145,3.5114999,24.0,18.0,25.0,21.0,1
no,White,no,no,no,no,no,24.0,28.0,4.4604521,2.6851602,13.0,15.0,10.0,13.0,1
yes,White,yes,no,no,no,yes,56.0,70.0,7.5291409,3.836,25.0,27.0,32.0,25.0,1
no,,no,no,no,no,no,42.0,42.0,2.7478385,3.1255,11.0,15.0,14.0,13.0,1
yes,White,no,no,no,no,yes,77.0,66.0,3.4198582,3.576,16.0,25.0,21.0,19.0,1
no,White,yes,no,no,no,yes,35.0,44.0,4.3365383,3.7005,22.0,19.0,19.0,19.0,1
no,White,yes,no,no,yes,no,61.0,64.0,1.925,4.0,29.0,24.0,27.0,27.0,1
no,Multiple/Native American,no,no,no,no,no,,,6.1149426,3.3599999,25.0,22.0,23.0,22.0,1
no,White,yes,no,no,no,no,37.0,71.0,7.7585711,2.5998001,16.0,18.0,19.0,18.0,1
yes,White,yes,no,no,no,no,0.0,,26.371952,0.296,,,,,0
no,White,yes,no,no,yes,no,38.0,58.0,5.5252228,3.2659998,19.0,16.0,14.0,17.0,1
no,White,no,no,no,no,yes,72.0,50.0,0.0,3.6700001,30.0,27.0,33.0,29.0,1
yes,White,no,no,no,no,yes,49.0,41.0,10.125,3.1546502,17.0,16.0,18.0,16.0,1
no,African-American,no,no,no,no,no,44.0,51.0,0.89331442,3.71,21.0,24.0,15.0,23.0,1
yes,Multiple/Native American,no,no,no,yes,no,,,0.0,1.2130001,,,,,1
yes,White,no,no,no,no,no,11.0,40.0,17.12093,1.267,,,,,0
yes,White,no,no,no,no,no,49.0,42.0,3.4475627,1.07175,10.0,14.0,15.0,13.0,1
no,White,yes,no,no,yes,no,62.0,57.0,6.9320216,2.95225,18.0,24.0,23.0,20.0,1
no,Hispanic,yes,no,no,yes,yes,58.0,31.0,2.9029486,3.4910998,27.0,21.0,26.0,25.0,1
yes,African-American,yes,yes,no,yes,no,0.0,,9.918973,0.6221,,,,,0
yes,White,no,no,no,no,no,55.0,62.0,2.6623378,3.5785,22.0,26.0,16.0,21.0,1
yes,White,no,no,no,no,no,60.0,59.0,4.5202312,3.0028801,12.0,16.0,12.0,12.0,1
yes,African-American,no,no,no,no,no,43.0,58.0,5.481214,2.6059999,17.0,15.0,18.0,16.0,1
no,White,no,no,no,no,yes,70.0,61.0,1.7907648,3.2975001,27.0,29.0,27.0,28.0,1
yes,White,no,no,no,no,no,42.0,42.0,0.46088195,1.7162499,12.0,16.0,22.0,18.0,1
no,African-American,yes,no,no,yes,no,27.0,43.0,11.758399,1.839,15.0,17.0,13.0,14.0,1
yes,Multiple/Native American,no,no,no,no,yes,46.0,46.0,4.5905848,2.8385,23.0,24.0,23.0,23.0,1
no,White,no,no,no,no,no,52.0,46.0,1.7931526,3.5994501,19.0,19.0,21.0,20.0,1
yes,White,yes,no,no,no,no,45.0,70.0,3.6858408,3.1800001,14.0,16.0,17.0,17.0,1
no,White,yes,yes,no,yes,no,8.0,32.0,8.5923262,2.6367149,11.0,14.0,14.0,13.0,1
no,White,yes,no,no,no,no,57.0,43.0,7.3822675,2.7308667,15.0,21.0,24.0,21.0,1
yes,White,yes,no,no,yes,no,58.0,80.0,16.58149,1.576,29.0,22.0,26.0,26.0,1
